"Id","SepalLengthCm","SepalWidthCm","PetalLengthCm","PetalWidthCm","Species_True","Species_Find"
4.9,4.9,3,1.4,0.2,"Iris-setosa","Iris-setosa"
4.6,4.6,3.1,1.5,0.2,"Iris-setosa","Iris-setosa"
4.9,4.9,3.1,1.5,0.1,"Iris-setosa","Iris-setosa"
4.8,4.8,3,1.4,0.1,"Iris-setosa","Iris-setosa"
5.7,5.7,3.8,1.7,0.3,"Iris-setosa","Iris-setosa"
5.4,5.4,3.4,1.7,0.2,"Iris-setosa","Iris-setosa"
5.1,5.1,3.7,1.5,0.4,"Iris-setosa","Iris-setosa"
4.8,4.8,3.1,1.6,0.2,"Iris-setosa","Iris-setosa"
5.4,5.4,3.4,1.5,0.4,"Iris-setosa","Iris-setosa"
4.5,4.5,2.3,1.3,0.3,"Iris-setosa","Iris-setosa"
5.3,5.3,3.7,1.5,0.2,"Iris-setosa","Iris-setosa"
6.4,6.4,3.2,4.5,1.5,"Iris-versicolor","Iris-versicolor"
4.9,4.9,2.4,3.3,1,"Iris-versicolor","Iris-versicolor"
6.6,6.6,2.9,4.6,1.3,"Iris-versicolor","Iris-versicolor"
5.9,5.9,3,4.2,1.5,"Iris-versicolor","Iris-versicolor"
5.6,5.6,3,4.5,1.5,"Iris-versicolor","Iris-versicolor"
6.1,6.1,2.8,4,1.3,"Iris-versicolor","Iris-versicolor"
6.6,6.6,3,4.4,1.4,"Iris-versicolor","Iris-versicolor"
5.5,5.5,2.4,3.8,1.1,"Iris-versicolor","Iris-versicolor"
6.3,6.3,2.3,4.4,1.3,"Iris-versicolor","Iris-versicolor"
5.5,5.5,2.6,4.4,1.2,"Iris-versicolor","Iris-versicolor"
5.7,5.7,3,4.2,1.2,"Iris-versicolor","Iris-versicolor"
6.2,6.2,2.9,4.3,1.3,"Iris-versicolor","Iris-versicolor"
5.1,5.1,2.5,3,1.1,"Iris-versicolor","Iris-versicolor"
5.8,5.8,2.7,5.1,1.9,"Iris-virginica","Iris-virginica"
7.1,7.1,3,5.9,2.1,"Iris-virginica","Iris-virginica"
6.5,6.5,3,5.8,2.2,"Iris-virginica","Iris-virginica"
4.9,4.9,2.5,4.5,1.7,"Iris-virginica","Iris-versicolor"
6.7,6.7,2.5,5.8,1.8,"Iris-virginica","Iris-virginica"
7.2,7.2,3.6,6.1,2.5,"Iris-virginica","Iris-virginica"
6,6,2.2,5,1.5,"Iris-virginica","Iris-versicolor"
6.7,6.7,3.3,5.7,2.1,"Iris-virginica","Iris-virginica"
6.4,6.4,2.8,5.6,2.1,"Iris-virginica","Iris-virginica"
6.4,6.4,2.8,5.6,2.2,"Iris-virginica","Iris-virginica"
7.7,7.7,3,6.1,2.3,"Iris-virginica","Iris-virginica"
6.9,6.9,3.1,5.4,2.1,"Iris-virginica","Iris-virginica"
6.7,6.7,3.1,5.6,2.4,"Iris-virginica","Iris-virginica"
6.8,6.8,3.2,5.9,2.3,"Iris-virginica","Iris-virginica"
